614,808,765,840,756,883,605,851,0
790,872,804,875,801,891,787,888,0
633,1180,669,1187,666,1203,630,1196,0
612,861,760,886,757,907,609,882,0
1483,1023,1558,1019,1560,1054,1485,1058,0
1632,228,1728,199,1739,234,1643,263,0
961,168,1173,62,1183,82,971,188,0
965,200,1177,94,1183,108,971,214,0
959,261,1152,174,1163,198,970,285,0
962,294,1191,194,1197,208,968,308,0
953,355,1048,320,1059,349,964,384,0
955,390,1048,360,1054,377,961,407,0
950,457,1117,400,1127,428,960,485,0
955,492,1077,452,1083,470,961,510,0
947,555,1094,517,1102,548,955,586,0
950,591,1139,544,1144,565,955,612,0
944,661,1043,644,1049,676,950,693,0
943,702,1022,689,1025,708,946,721,0
941,768,1088,751,1092,784,945,801,0
941,810,1097,793,1099,812,943,829,0
