1106,575,1287,541,1297,593,1116,627,0
1036,653,1291,609,1298,649,1043,693,0
747,649,881,627,888,672,754,694,1
745,708,939,678,944,713,750,743,1
139,675,669,837,651,896,121,734,0
332,849,506,897,494,942,320,894,0
554,902,569,906,564,922,549,918,0
610,918,731,947,726,967,605,938,0
606,955,744,987,741,1000,603,968,0
601,981,720,1009,717,1022,598,994,0
599,1012,711,1031,708,1046,596,1027,0
659,1046,737,1060,735,1074,657,1060,0
604,1058,652,1066,650,1080,602,1072,0
584,1105,660,1114,657,1139,581,1130,0
582,1146,696,1156,694,1177,580,1167,0
578,1175,672,1184,670,1205,576,1196,0
574,1205,724,1214,723,1235,573,1226,0
581,1237,626,1240,625,1261,580,1258,0
